timestamp(ms),acc.x,acc.y,acc.z
3820,0.233825684,-0.880218506,1.087768555
3840,0.495559692,-1.178863525,1.390304565
3860,0.583526611,-1.171356201,0.883300781
3880,0.551483154,-1.394943237,0.422698975
3900,0.491668701,-1.12600708,0.559799194
3920,0.20223999,-0.846328735,0.711654663
3940,0.004776001,-0.999664307,0.559188843
3960,-0.049758911,-1.122467041,0.243240356
3980,0.03553772,-1.379730225,-0.381439209
4000,0.188308716,-1.278274536,-0.443466187
4020,0.34677124,-1.179321289,0.384063721
4040,0.652359009,-0.922683716,0.178222656
4060,0.270370483,-0.915985107,-0.312484741
4080,0.255615234,-0.730529785,-0.299560547
4100,0.199996948,-0.880310059,-0.561584473
4120,0.183319092,-1.084762573,-0.589355469
4140,0.187835693,-1.00944519,-0.067077637
4160,0.227844238,-1.007675171,0.159622192
4180,0.192077637,-0.964004517,0.449447632
4200,0.17175293,-1.04637146,0.228424072
4220,0.245010376,-0.801223755,0.107650757
4240,0.304611206,-0.836105347,-0.055343628
4260,0.284118652,-0.791244507,-0.113311768
4280,0.31060791,-0.802749634,-0.136123657
4300,0.354095459,-0.810333252,-0.159713745
4320,0.403717041,-0.813583374,-0.119735718
4340,0.43371582,-0.861312866,-0.012634277
4360,0.404449463,-0.890594482,0.162689209
4380,0.365722656,-0.951248169,0.170181274
4400,0.338928223,-0.923843384,0.104934692
4420,0.3309021,-0.900512695,0.043746948
4440,0.34362793,-0.84173584,-0.002883911
4460,0.338165283,-0.796844482,0.041992188
4480,0.412948608,-0.792572021,0.016860962
4500,0.52041626,-0.86946106,-0.005599976
4520,0.592163086,-0.949554443,-0.112731934
4540,0.672592163,-1.042068481,-0.048706055
4560,0.713531494,-1.120803833,0.06350708
4580,0.599533081,-1.224273682,0.088348389
4600,0.479125977,-1.223815918,0.158691406
4620,0.400466919,-1.279327393,0.06867981
4640,0.33706665,-1.23248291,0.120880127
4660,0.268280029,-1.261032104,0.086013794
4680,0.195678711,-1.234466553,-0.025482178
4700,0.110366821,-1.157363892,-0.128662109
4720,0.073760986,-1.024551392,0.023193359
4740,0.052902222,-0.971221924,0.086776733
4760,-0.008666992,-1.075012207,0.028778076
4780,-0.017227173,-1.183197021,0.061935425
4800,0.111129761,-1.201889038,0.206970215
4820,0.247467041,-1.068969727,0.272644043
4840,0.324462891,-0.964584351,0.18862915
4860,0.360275269,-0.809997559,0.08430481
4880,0.365341187,-0.669967651,0.101165771
4900,0.340637207,-0.596069336,0.196014404
4920,0.228103638,-0.572479248,0.245803833
4940,0.14906311,-0.573303223,0.254348755
4960,0.088821411,-0.579391479,0.251739502
4980,0.073562622,-0.61076355,0.217453003
5000,0.069656372,-0.681228638,0.171691895
5020,0.071334839,-0.748474121,0.170593262
5040,0.085098267,-0.810516357,0.166397095
5060,0.065567017,-0.818222046,0.265090942
5080,0.116012573,-0.82699585,0.37059021
5100,0.147674561,-0.84161377,0.446090698
5120,0.182998657,-0.847122192,0.524749756
5140,0.196304321,-0.848220825,0.749725342
5160,0.261444092,-0.906204224,1.083251953
5180,0.532226563,-1.081344604,1.199707031
5200,0.558029175,-1.170410156,0.713317871
5220,0.448928833,-1.190475464,0.63659668
5240,0.206710815,-1.03314209,0.704620361
5260,0.009384155,-0.910552979,0.604751587
5280,-0.078704834,-1.049560547,0.479324341
5300,0.010574341,-1.198974609,0.268890381
5320,0.101303101,-1.287185669,-0.00012207
5340,0.16317749,-1.312332153,-0.183563232
5360,0.28918457,-1.256484985,0.099533081
5380,0.471252441,-1.111831665,0.521133423
5400,0.45539856,-0.772293091,-0.166915894
5420,0.344268799,-0.642089844,-0.179290771
5440,0.19367981,-0.488571167,0.015823364
5460,0.351974487,-0.812423706,-0.36114502
5480,0.284637451,-1.099777222,-0.466934204
5500,0.231750488,-1.062301636,-0.060470581
5520,0.267700195,-1.063461304,0.204971313
5540,0.354141235,-1.123809814,0.10256958
5560,0.368225098,-0.991516113,0.31477356
5580,0.335098267,-0.87411499,0.335830688
5600,0.306304932,-0.803192139,0.113250732
5620,0.318069458,-0.742919922,0.062194824
5640,0.331817627,-0.802062988,0.041473389
5660,0.299880981,-0.863143921,-0.025756836
5680,0.27180481,-0.831710815,-0.049407959
5700,0.289459229,-0.830566406,-0.058074951
5720,0.323165894,-0.889648438,-0.088226318
5740,0.331359863,-0.906021118,-0.008071899
5760,0.344955444,-0.922317505,0.085617065
5780,0.341812134,-0.930587769,0.064849854
5800,0.330581665,-0.954147339,0.049865723
5820,0.325637817,-0.945053101,0.057785034
5840,0.331054688,-0.926391602,0.071609497
5860,0.356262207,-0.928817749,0.07144165
5880,0.390853882,-0.931213379,0.049697876
5900,0.471481323,-0.974807739,-0.005828857
5920,0.518463135,-1.001449585,-0.057052612
5940,0.536193848,-1.031417847,-0.074935913
5960,0.54624939,-1.058563232,-0.037063599
5980,0.530548096,-1.150054932,-0.062515259
6000,0.50088501,-1.203308105,-0.009124756
6020,0.493225098,-1.195739746,0.108184814
6040,0.474578857,-1.164993286,0.285675049
6060,0.39251709,-1.106170654,0.263809204
6080,0.429153442,-1.148330688,-0.031951904
6100,0.440460205,-1.164367676,-0.18182373
6120,0.35987854,-0.99559021,-0.161895752
6140,0.240951538,-0.923171997,-0.070419312
6160,0.166519165,-1.050415039,0.005981445
6180,0.105514526,-1.169509888,0.253982544
6200,0.194747925,-1.165237427,0.347381592
6220,0.328781128,-1.134613037,0.207458496
6240,0.339538574,-1.080108643,0.085800171
6260,0.385055542,-0.861282349,0.049118042
6280,0.393890381,-0.696228027,0.040054321
6300,0.355056763,-0.603637695,0.040390015
6320,0.277542114,-0.570037842,0.019332886
6340,0.213821411,-0.557937622,0.040908813
6360,0.12437439,-0.555969238,0.034561157
6380,0.144378662,-0.573638916,-0.001296997
